age,gender,marital_status,dependents,education,self_employed,income_annual,loan_amount,loan_amount_term,credit_history,property_area,loan_grade,debt_to_income_ratio,delinquencies_2yrs,open_accounts,total_accounts,risk_score,default,application_date
34,Male,Married,2,Graduate,No,38934,15885,48,1,Semiurban,E,0.02332205935747479,0,3,4,567,1,2023-02-09
52,Male,Married,2,Graduate,Yes,25093,8188,48,1,Rural,D,0.27287942823460354,0,1,10,622,1,2023-05-31
29,Male,Widowed,1,Graduate,Yes,41615,48061,24,1,Urban,D,0.14181323982412808,0,5,5,559,1,2023-06-12
37,Male,Widowed,1,Graduate,Yes,28137,23224,60,1,Rural,D,0.13735361468749266,1,5,7,592,1,2023-04-05
34,Male,Married,0,Graduate,No,63089,75309,12,1,Urban,A,0.17900253994982374,0,5,9,708,1,2023-09-04
46,Female,Married,0,Not Graduate,No,19078,9104,48,1,Rural,C,0.25915313420349767,0,3,7,487,1,2023-08-17
60,Male,Married,0,Not Graduate,Yes,42361,16683,36,1,Semiurban,D,0.10000577187457117,0,2,7,512,0,2023-01-28
29,Female,Married,1,Not Graduate,No,36841,10621,36,0,Urban,A,0.07710663836887681,0,6,1,305,1,2023-05-24
30,Female,Single,0,Graduate,No,42798,31010,48,1,Rural,E,0.08253106156731944,0,6,5,494,1,2023-12-20
45,Female,Married,1,Graduate,No,51994,44545,48,1,Urban,A,0.09764690505588025,1,7,4,708,0,2023-04-23
41,Female,Single,0,Not Graduate,No,23292,18612,48,1,Urban,B,0.044675035902158586,0,8,13,470,1,2023-08-07
53,Male,Single,0,Graduate,No,23281,27505,36,1,Urban,A,0.21868631221680043,0,5,5,655,0,2023-04-02
40,Male,Single,2,Graduate,Yes,40444,41556,60,0,Urban,C,0.27649549709117405,1,2,9,319,1,2023-01-19
31,Male,Married,1,Graduate,No,58824,37557,36,1,Urban,B,0.2182794667791595,0,3,15,647,1,2023-07-23
40,Female,Married,1,Graduate,No,32061,27115,36,1,Semiurban,C,0.090846022758623,0,4,10,568,0,2023-12-30
46,Female,Married,0,Graduate,No,74529,39962,60,0,Urban,D,0.20816021671973217,1,6,12,462,1,2023-03-18
43,Female,Married,0,Graduate,No,31257,29702,12,1,Urban,D,0.16664460890576405,0,4,9,678,0,2023-10-02
40,Male,Single,0,Not Graduate,No,25443,8787,24,1,Rural,C,0.11658981399052029,0,11,7,459,0,2023-11-30
45,Female,Married,1,Graduate,No,45575,12836,60,1,Rural,A,0.17628844616556388,1,1,7,702,0,2023-09-17
46,Male,Single,1,Not Graduate,No,27637,31318,60,0,Urban,B,0.21290003863273319,0,5,7,300,1,2023-08-24
48,Male,Married,0,Not Graduate,Yes,27809,31019,48,1,Rural,D,0.26911828514489716,1,6,8,495,1,2023-07-25
41,Male,Widowed,0,Graduate,No,41357,39870,36,1,Semiurban,C,0.1966303615234688,0,4,13,639,0,2023-05-12
33,Male,Single,0,Not Graduate,No,57868,34221,36,1,Urban,C,0.10974352780112058,1,3,5,492,1,2023-02-22
36,Male,Single,1,Graduate,No,42241,17526,24,1,Urban,B,0.025360371025599408,3,4,7,593,0,2023-06-13
47,Male,Married,1,Graduate,No,38336,30060,36,0,Rural,B,0.20351085347934358,0,1,6,345,1,2023-06-12
26,Male,Widowed,0,Graduate,No,95015,32804,36,1,Rural,E,0.21660004626846674,0,6,9,638,1,2023-02-27
38,Female,Married,1,Graduate,Yes,51442,53353,12,1,Rural,D,0.08784694637229905,0,2,8,652,0,2023-02-16
31,Female,Divorced,0,Graduate,Yes,30661,27317,36,1,Semiurban,A,0.1204618214519864,0,4,6,487,1,2023-10-14
35,Female,Married,1,Graduate,No,63029,48376,36,0,Semiurban,C,0.22090584285535908,0,3,10,323,1,2023-01-31
47,Male,Widowed,0,Graduate,No,32216,7679,48,0,Semiurban,B,0.04718764929274784,0,7,12,305,1,2023-01-11
36,Female,Single,1,Graduate,Yes,49108,54541,36,1,Rural,B,0.17256937013982954,0,4,4,509,1,2023-03-19
35,Female,Single,1,Graduate,No,47575,63777,60,0,Rural,B,0.061934429806440636,2,4,9,313,1,2023-04-27
21,Male,Divorced,1,Graduate,No,36364,40166,36,1,Urban,C,0.14257014485046166,1,6,8,522,1,2023-01-03
42,Male,Divorced,1,Graduate,No,25283,22840,36,1,Semiurban,E,0.0966208205706268,0,3,7,545,0,2023-10-10
41,Male,Single,0,Not Graduate,No,35818,41927,36,1,Semiurban,D,0.13594840028625682,0,6,2,471,1,2023-11-14
56,Male,Single,1,Graduate,Yes,28651,33096,24,0,Urban,D,0.13789253698961795,1,2,12,339,1,2023-01-20
31,Female,Single,1,Not Graduate,No,41425,48179,36,1,Semiurban,C,0.24964435765434775,0,4,8,402,1,2023-10-12
37,Female,Single,2,Graduate,No,44857,22033,48,1,Rural,A,0.033797191423170184,0,4,3,573,0,2023-08-13
37,Male,Single,2,Graduate,Yes,13557,5037,36,0,Rural,B,0.27593197941820535,1,5,7,309,1,2023-08-10
50,Female,Widowed,0,Graduate,No,42994,15495,60,1,Rural,C,0.16034312443395418,0,7,3,657,0,2023-11-13
34,Female,Married,1,Graduate,No,156786,48957,48,1,Urban,D,0.29445278736666575,0,4,6,734,1,2023-01-07
37,Female,Married,1,Not Graduate,No,30996,41717,24,1,Urban,E,0.1297831588850363,0,6,9,512,1,2023-05-24
41,Male,Married,0,Graduate,No,59543,50958,36,1,Urban,B,0.05459680378844671,0,5,7,723,0,2023-04-07
36,Female,Married,2,Graduate,No,52627,23131,48,1,Semiurban,B,0.13612011139305333,0,5,9,696,0,2023-03-05
30,Male,Married,3,Graduate,No,15976,11947,48,1,Rural,B,0.22195345503013672,3,3,4,484,1,2023-12-26
36,Male,Married,0,Graduate,No,46576,13807,60,1,Rural,C,0.032825388492295306,0,4,10,660,0,2023-11-01
45,Male,Married,2,Not Graduate,No,23853,10561,48,1,Rural,B,0.08984282825022559,0,4,6,465,0,2023-09-13
24,Male,Married,0,Graduate,Yes,32900,38646,12,1,Urban,E,0.015633219531997575,0,5,5,523,1,2023-12-20
36,Female,Married,0,Not Graduate,Yes,17506,16876,24,1,Urban,B,0.2735416245781628,3,6,5,463,1,2023-10-16
27,Male,Divorced,1,Graduate,Yes,45303,18417,48,1,Rural,E,0.17267673868142286,0,4,8,549,0,2023-04-23
46,Male,Widowed,3,Graduate,No,30622,29499,24,0,Rural,A,0.10265947760717149,1,5,9,300,1,2023-05-09
19,Male,Married,1,Graduate,No,71157,64801,36,1,Semiurban,A,0.0693218194212945,1,8,5,568,0,2023-03-05
29,Female,Married,2,Graduate,No,18401,19500,48,1,Semiurban,C,0.13781443616343966,2,4,9,496,0,2023-06-27
38,Male,Single,1,Not Graduate,No,57202,81873,36,1,Semiurban,D,0.2010010729468678,0,7,9,487,1,2023-10-24
50,Female,Married,0,Graduate,No,44831,17556,36,1,Semiurban,B,0.22498038353655586,5,5,7,675,0,2023-11-14
34,Male,Married,2,Graduate,No,23643,32220,48,0,Urban,D,0.16441908279772224,0,5,10,301,1,2023-04-03
29,Male,Single,2,Not Graduate,No,16767,9305,24,1,Semiurban,B,0.10391339692795033,0,3,12,346,1,2023-06-04
53,Male,Married,2,Graduate,No,31415,19738,48,1,Semiurban,D,0.14360519078778325,1,3,14,609,0,2023-12-03
20,Male,Married,0,Graduate,No,40877,33213,48,1,Urban,B,0.14978069638827884,0,5,6,565,1,2023-02-28
18,Male,Single,3,Graduate,Yes,21315,25630,36,1,Rural,B,0.17666016015301586,0,8,6,479,1,2023-03-11
39,Male,Divorced,0,Graduate,No,22595,25419,24,0,Urban,B,0.15833545359280837,1,9,3,314,1,2023-01-01
29,Female,Single,1,Graduate,Yes,59589,49121,48,0,Semiurban,B,0.1486066550798674,0,4,11,312,1,2023-11-27
24,Female,Divorced,3,Graduate,Yes,24569,30912,36,1,Semiurban,B,0.10860873224251838,1,2,5,405,1,2023-06-15
42,Male,Married,2,Not Graduate,No,48530,48414,12,1,Semiurban,B,0.3296481452817253,0,3,6,534,1,2023-02-10
37,Male,Married,0,Graduate,No,66798,95032,60,1,Urban,D,0.20528725882212778,1,3,3,668,0,2023-04-16
29,Female,Married,0,Not Graduate,Yes,24291,19504,48,1,Semiurban,C,0.195247869104369,0,4,13,436,1,2023-07-01
22,Male,Married,0,Graduate,No,19442,22945,36,1,Urban,B,0.14753776760698104,1,6,7,520,0,2023-02-27
43,Male,Married,4,Graduate,No,56162,15996,36,1,Urban,E,0.11292577539617482,0,6,11,672,1,2023-03-08
41,Female,Married,0,Not Graduate,No,31275,19319,60,1,Urban,E,0.10523549107012387,1,8,16,520,0,2023-12-26
34,Female,Married,1,Not Graduate,Yes,29161,40568,48,0,Urban,E,0.2920430444244146,1,6,13,300,1,2023-08-28
53,Male,Married,5,Graduate,No,74185,64663,36,1,Rural,C,0.1453010477771179,0,7,9,768,0,2023-04-26
24,Male,Widowed,2,Graduate,No,31763,45639,48,1,Semiurban,B,0.12790024105857592,1,2,12,509,0,2023-02-01
19,Male,Single,0,Not Graduate,No,41723,8696,24,1,Urban,B,0.15203865334186578,0,5,6,430,1,2023-12-26
28,Female,Married,1,Not Graduate,No,16224,13183,24,1,Rural,A,0.08327060467114449,2,4,8,378,1,2023-02-02
34,Male,Single,1,Not Graduate,Yes,34955,40011,24,0,Urban,C,0.20263611243530286,0,3,10,309,1,2023-03-21
37,Male,Married,2,Graduate,No,23373,14637,24,0,Urban,C,0.09041737669106659,0,3,6,300,1,2023-02-05
32,Male,Married,0,Graduate,No,28184,22650,48,1,Urban,C,0.06753445087257105,1,1,9,584,1,2023-05-10
38,Male,Single,0,Graduate,No,27366,11400,24,1,Rural,C,0.15228248813399947,0,1,9,561,0,2023-09-29
22,Female,Single,0,Not Graduate,Yes,69612,53102,48,0,Semiurban,A,0.06492591191168065,0,3,8,316,1,2023-11-24
49,Female,Single,0,Graduate,Yes,26067,22390,36,1,Urban,C,0.12822853995883238,0,10,10,697,1,2023-02-25
34,Female,Married,2,Graduate,No,27795,27250,36,1,Urban,B,0.2771821305462285,0,3,10,609,1,2023-02-04
46,Male,Married,0,Not Graduate,No,78218,62651,36,0,Semiurban,C,0.18068273918685807,0,7,6,309,1,2023-07-11
38,Male,Widowed,1,Graduate,No,30381,14463,36,0,Semiurban,B,0.2886776194175614,0,9,8,313,1,2023-09-03
39,Male,Married,0,Not Graduate,No,26629,38602,36,1,Rural,A,0.06121861581891603,1,5,6,453,1,2023-11-06
40,Male,Single,1,Graduate,No,62945,76027,36,1,Semiurban,D,0.1330490494112946,1,6,5,660,1,2023-02-03
39,Female,Divorced,0,Graduate,Yes,36606,45976,48,1,Semiurban,A,0.39698182087172545,1,3,9,586,0,2023-05-31
41,Male,Married,0,Graduate,No,37944,39017,48,1,Rural,C,0.11712222144740349,1,6,6,599,1,2023-08-28
48,Male,Married,1,Graduate,No,42169,54487,48,0,Semiurban,D,0.10565037149020194,0,3,3,327,1,2023-02-03
36,Male,Single,0,Graduate,No,70955,68382,48,1,Urban,B,0.06896755907000605,1,6,11,709,1,2023-11-04
42,Female,Married,0,Graduate,Yes,21655,27215,48,1,Urban,B,0.2529868305696914,1,10,7,625,0,2023-11-13
34,Male,Divorced,1,Graduate,No,64357,90885,24,1,Semiurban,B,0.07111603289159292,0,7,7,531,1,2023-04-14
49,Male,Married,0,Not Graduate,No,17208,5469,60,1,Rural,A,0.09250524330615248,0,6,7,518,1,2023-06-05
28,Male,Married,0,Graduate,No,24156,27079,36,1,Urban,B,0.12788938308265252,0,7,10,592,1,2023-09-28
53,Female,Married,0,Graduate,No,23194,15308,48,0,Semiurban,B,0.2359746688366627,0,4,12,370,1,2023-09-10
34,Male,Divorced,1,Graduate,No,33842,21563,48,0,Urban,A,0.15070815921173886,0,9,9,315,1,2023-05-20
20,Female,Single,0,Graduate,No,24956,9660,36,1,Urban,B,0.1570409549150967,1,9,8,530,1,2023-05-30
36,Female,Married,1,Not Graduate,No,68562,99544,60,1,Urban,A,0.1711166843734896,1,4,9,592,0,2023-07-31
28,Male,Widowed,0,Graduate,No,47100,55115,24,1,Urban,D,0.20545259381130274,0,3,7,537,0,2023-07-28
43,Female,Single,0,Graduate,No,36050,10267,36,1,Semiurban,C,0.06936355729919821,0,3,6,542,0,2023-11-23
28,Male,Married,5,Not Graduate,No,23409,18560,24,1,Urban,A,0.20314577340969558,0,1,9,490,0,2023-04-27
30,Female,Married,1,Graduate,No,73180,56095,24,1,Semiurban,D,0.1623331137367702,0,2,13,616,0,2023-02-09
18,Male,Married,0,Graduate,No,38146,12364,48,1,Urban,B,0.3730510223116267,1,4,12,591,1,2023-06-05
30,Male,Married,2,Not Graduate,No,32035,34404,12,1,Semiurban,B,0.2854752975771305,0,3,8,427,1,2023-01-26
18,Male,Married,1,Not Graduate,Yes,33927,13979,60,1,Urban,B,0.1628219834113559,1,6,5,416,1,2023-09-18
19,Male,Married,0,Graduate,No,32501,12612,48,1,Urban,C,0.09543101246837363,0,7,7,514,1,2023-08-29
42,Female,Single,0,Graduate,No,55439,38993,36,1,Semiurban,A,0.13558737729493786,1,4,7,642,1,2023-06-21
42,Male,Married,1,Not Graduate,No,63906,30630,36,1,Semiurban,A,0.15277903365236528,0,2,8,554,1,2023-09-20
39,Female,Single,3,Graduate,No,22857,30850,24,1,Rural,C,0.1318319070432842,0,4,7,484,1,2023-08-27
25,Male,Single,1,Not Graduate,No,26208,31387,60,1,Urban,E,0.09198102702471946,1,3,8,389,1,2023-12-03
34,Female,Widowed,0,Not Graduate,No,26870,31805,48,0,Semiurban,B,0.03959324746919672,0,3,5,302,1,2023-11-17
34,Male,Married,1,Graduate,No,42613,38377,36,1,Urban,B,0.2421540500555241,1,5,6,632,0,2023-07-21
23,Male,Widowed,0,Graduate,No,59816,50957,12,1,Semiurban,E,0.05885005790522076,0,4,12,595,1,2023-07-20
50,Male,Single,0,Graduate,No,18278,21759,36,1,Urban,B,0.2066618832949904,0,4,3,671,0,2023-11-23
43,Female,Married,1,Graduate,No,21521,25436,24,1,Rural,B,0.09855201160902487,0,3,7,600,1,2023-08-04
32,Male,Single,1,Graduate,Yes,30583,18795,48,1,Semiurban,E,0.20774204470047752,0,6,7,465,1,2023-01-14
35,Male,Married,2,Not Graduate,No,47423,26306,48,1,Rural,C,0.03378375335309771,1,4,13,466,0,2023-08-12
37,Male,Married,0,Graduate,No,22686,11690,36,1,Rural,A,0.09917768199979339,1,4,9,571,1,2023-01-17
18,Female,Single,0,Graduate,No,29940,38492,60,1,Rural,C,0.053903350444330894,0,4,6,448,1,2023-10-08
32,Male,Divorced,0,Not Graduate,No,25317,17298,24,1,Semiurban,D,0.0987395728487118,1,6,13,376,1,2023-06-06
28,Male,Single,1,Graduate,No,53037,61031,36,1,Rural,B,0.3577606730188756,0,7,5,523,1,2023-11-02
24,Male,Married,0,Graduate,No,34379,25235,48,1,Urban,B,0.25714895409512695,1,7,17,549,1,2023-09-21
32,Female,Widowed,2,Graduate,No,25226,18880,12,1,Urban,A,0.19462160395738656,2,9,6,577,1,2023-09-28
52,Female,Divorced,2,Graduate,Yes,20167,19173,36,1,Semiurban,C,0.04809552288624227,1,1,11,584,1,2023-02-12
41,Male,Widowed,0,Not Graduate,Yes,29791,33914,36,1,Rural,C,0.2855963780014784,1,4,3,464,1,2023-06-14
29,Male,Married,2,Graduate,No,31825,17980,36,1,Rural,A,0.15843799840959227,0,1,9,550,1,2023-12-29
40,Male,Single,0,Graduate,No,55473,73340,36,1,Urban,C,0.15720402510585627,0,5,9,646,0,2023-08-21
48,Male,Single,2,Graduate,Yes,60420,45917,48,0,Semiurban,C,0.30710527001523746,3,4,9,344,1,2023-05-31
44,Male,Married,0,Not Graduate,No,20099,13308,36,1,Urban,A,0.17152436690962447,0,5,5,573,0,2023-09-07
35,Female,Married,2,Not Graduate,No,59414,31730,24,1,Semiurban,C,0.23511219551113477,0,5,5,519,0,2023-10-30
28,Male,Single,0,Graduate,No,51859,31829,24,0,Urban,C,0.03220950099248911,1,3,8,301,1,2023-11-08
41,Female,Married,1,Not Graduate,No,27847,34125,36,1,Urban,B,0.07404036752561372,2,5,11,519,1,2023-05-12
38,Male,Married,1,Graduate,No,53048,16338,24,1,Urban,E,0.06362008940904647,0,3,11,672,0,2023-01-17
43,Female,Married,0,Graduate,Yes,24438,9739,60,1,Rural,B,0.05429173238398231,1,8,4,552,1,2023-09-21
41,Male,Married,0,Not Graduate,No,44481,30046,48,1,Semiurban,A,0.061524924834729315,0,6,10,499,0,2023-04-22
45,Male,Married,0,Graduate,No,122102,50763,36,1,Urban,C,0.12180738724970479,2,6,6,786,0,2023-10-18
29,Male,Divorced,0,Graduate,No,40752,39415,48,1,Semiurban,C,0.16363861898859292,1,5,3,470,0,2023-02-05
48,Male,Single,0,Graduate,No,30610,36617,36,0,Rural,E,0.07212050330507397,1,6,10,300,1,2023-05-02
36,Male,Married,1,Graduate,No,18827,7556,24,1,Rural,B,0.17545055948164628,0,5,8,550,0,2023-02-16
55,Female,Single,1,Graduate,No,37837,25145,48,0,Rural,B,0.2401198138248139,0,1,6,340,1,2023-06-20
28,Female,Single,1,Graduate,No,59811,87454,48,1,Urban,B,0.11552168052366331,0,2,9,552,0,2023-03-30
52,Male,Married,0,Graduate,No,25471,13635,12,1,Urban,D,0.062353331202264474,0,5,8,689,0,2023-05-28
36,Male,Divorced,1,Graduate,No,47594,25429,36,1,Urban,B,0.14394100946937075,0,8,6,542,1,2023-12-23
28,Male,Single,2,Graduate,No,31835,12075,12,1,Semiurban,D,0.026867315491336783,0,7,9,469,1,2023-06-03
30,Male,Married,0,Graduate,No,29755,7174,36,0,Semiurban,A,0.17963143857113523,0,3,5,317,1,2023-08-02
31,Male,Married,4,Not Graduate,Yes,46380,18115,36,1,Urban,B,0.1419544362413438,1,12,11,500,1,2023-02-05
39,Female,Single,0,Graduate,No,14092,8135,48,1,Rural,A,0.062215928813066514,1,6,9,448,1,2023-05-08
40,Female,Divorced,1,Not Graduate,Yes,33002,38239,24,1,Rural,E,0.17718771575623782,1,6,5,469,1,2023-04-22
29,Female,Married,1,Not Graduate,No,59487,59656,12,0,Semiurban,A,0.13692411292161205,0,4,5,300,1,2023-05-13
34,Male,Single,0,Graduate,No,33110,13035,36,1,Semiurban,B,0.10735644452986402,1,3,10,491,1,2023-12-09
56,Female,Married,0,Graduate,No,36443,33888,48,1,Semiurban,A,0.1645960251782286,0,5,8,708,0,2023-01-01
52,Female,Married,0,Graduate,No,33983,37646,36,1,Semiurban,E,0.04582534373719127,2,4,7,664,0,2023-01-23
39,Male,Married,1,Graduate,No,94495,124281,36,0,Rural,C,0.17319507936988343,1,4,10,390,1,2023-06-28
35,Male,Married,0,Graduate,Yes,44021,63857,36,1,Urban,E,0.12022823869965747,0,4,7,650,0,2023-11-05
36,Female,Single,1,Graduate,No,19186,21347,48,0,Semiurban,A,0.37935312597023896,0,8,8,300,1,2023-01-15
41,Male,Married,0,Graduate,No,23553,32220,36,0,Urban,A,0.080755681452442,0,5,11,300,1,2023-10-07
24,Male,Single,1,Not Graduate,No,38062,22584,12,1,Semiurban,B,0.11006599860604546,0,5,9,389,1,2023-12-21
32,Male,Divorced,3,Not Graduate,No,68113,71708,24,1,Semiurban,C,0.14595509383969357,0,4,9,471,1,2023-11-06
18,Male,Married,1,Graduate,No,50541,48544,24,1,Urban,B,0.2753915312178685,1,1,9,663,0,2023-12-15
38,Male,Single,2,Graduate,Yes,59646,38133,36,0,Urban,C,0.017489627009306986,0,3,6,347,0,2023-08-22
41,Female,Divorced,0,Graduate,No,20642,10245,12,0,Urban,A,0.14128057889373394,2,4,7,300,1,2023-08-13
30,Female,Single,1,Graduate,No,49781,10960,24,1,Urban,C,0.059983605055622995,0,12,4,626,0,2023-12-26
50,Female,Married,0,Not Graduate,Yes,25112,8166,48,1,Semiurban,B,0.23635466621852683,1,4,9,519,0,2023-05-09
22,Male,Married,0,Not Graduate,No,34200,18791,36,1,Rural,C,0.0928112182828904,1,7,8,411,1,2023-06-24
20,Female,Single,1,Graduate,No,55550,78703,48,1,Urban,C,0.04382827179896272,1,4,5,530,0,2023-02-10
37,Male,Divorced,0,Graduate,Yes,27328,16027,36,0,Urban,A,0.04683295385979356,0,5,11,320,1,2023-06-24
45,Male,Married,0,Graduate,No,17674,17643,60,1,Semiurban,E,0.10847003721679513,1,4,6,546,1,2023-11-15
51,Male,Single,0,Not Graduate,No,30210,6215,60,1,Urban,D,0.04044160585118441,0,1,4,521,1,2023-08-11
30,Male,Married,1,Graduate,No,38581,39643,48,1,Urban,B,0.06161174613713233,1,3,12,594,0,2023-08-11
45,Male,Married,0,Graduate,No,51095,61126,60,1,Semiurban,C,0.07376028695361896,1,4,6,668,0,2023-04-23
34,Male,Divorced,0,Not Graduate,No,23282,30734,24,1,Rural,A,0.19472795176347873,0,8,11,386,0,2023-01-13
33,Male,Married,0,Not Graduate,Yes,27527,12617,48,1,Rural,B,0.23040769074461592,1,4,9,434,0,2023-08-02
43,Male,Married,1,Not Graduate,No,40441,14095,36,1,Urban,B,0.15125357799101005,0,8,10,615,1,2023-05-18
41,Female,Married,1,Graduate,No,47710,39039,48,1,Urban,B,0.21572788986018446,3,4,9,645,0,2023-12-08
19,Male,Married,0,Graduate,No,40192,40366,36,1,Semiurban,D,0.14441867039066755,1,8,14,595,1,2023-03-30
49,Female,Married,0,Graduate,No,33749,23692,24,1,Urban,A,0.05788809301475525,1,5,10,658,0,2023-01-15
48,Male,Single,0,Not Graduate,No,25090,10578,60,1,Rural,A,0.28878520503480687,1,4,11,492,1,2023-12-17
28,Male,Married,1,Not Graduate,No,56588,69476,24,1,Semiurban,C,0.13529365127312717,0,2,5,495,1,2023-09-12
38,Female,Married,1,Not Graduate,No,66620,64488,48,1,Urban,C,0.216956401049762,0,6,19,646,0,2023-03-28
39,Male,Widowed,0,Graduate,Yes,27113,32633,48,1,Urban,A,0.15654681661240247,1,9,11,621,1,2023-06-07
37,Male,Single,0,Not Graduate,No,28646,35831,36,1,Rural,C,0.13352665820775408,0,3,7,438,1,2023-12-05
29,Female,Married,1,Graduate,Yes,51115,60396,36,1,Semiurban,B,0.11473301400975996,0,10,11,543,0,2023-05-25
28,Male,Divorced,0,Graduate,Yes,39483,17052,24,1,Rural,D,0.3021834737850372,0,5,7,491,0,2023-09-12
34,Female,Married,0,Graduate,No,48579,11307,60,1,Semiurban,B,0.23065739883958708,0,7,11,589,1,2023-02-14
46,Male,Divorced,0,Graduate,No,41585,18898,60,1,Semiurban,D,0.023787675673534122,2,8,7,568,0,2023-05-08
40,Male,Divorced,2,Graduate,No,43908,64297,48,1,Urban,B,0.1265925833503138,0,5,6,577,1,2023-04-16
31,Male,Married,1,Not Graduate,No,29625,31773,48,0,Rural,D,0.21373300206009335,2,2,6,301,1,2023-04-19
42,Male,Married,0,Not Graduate,Yes,13373,19921,12,1,Rural,C,0.08114909078287344,0,4,8,496,0,2023-05-29
18,Female,Single,1,Graduate,No,40001,15129,36,1,Urban,D,0.11816840351639597,1,6,8,559,1,2023-12-04
46,Female,Married,0,Graduate,No,51275,66229,36,1,Urban,D,0.12523855777830975,0,7,7,681,0,2023-05-21
18,Male,Single,2,Graduate,No,41894,37242,36,1,Semiurban,B,0.055849129099434056,1,4,7,477,1,2023-02-13
31,Male,Married,1,Graduate,Yes,25009,33753,24,0,Semiurban,B,0.10522506248702392,2,7,6,300,1,2023-10-30
23,Female,Married,0,Graduate,Yes,27189,25779,36,0,Semiurban,D,0.1998051498230927,4,6,11,300,1,2023-06-07
22,Male,Married,0,Not Graduate,No,124063,131818,48,0,Semiurban,B,0.3142619227517732,0,5,9,300,1,2023-12-16
46,Male,Single,2,Graduate,No,43299,45977,24,1,Rural,A,0.14767816987593882,0,3,7,590,0,2023-02-04
30,Male,Widowed,0,Not Graduate,Yes,11227,15404,24,0,Semiurban,D,0.18252715049175963,0,4,7,300,0,2023-05-20
38,Male,Single,1,Not Graduate,No,27251,15511,12,1,Semiurban,B,0.028474655339085067,0,3,9,427,1,2023-06-15
34,Female,Single,1,Graduate,No,32580,21441,48,1,Urban,A,0.07395631210073828,0,8,5,596,0,2023-09-02
39,Female,Single,2,Graduate,No,19551,5803,36,1,Urban,C,0.08749406959635433,0,8,4,571,1,2023-01-10
35,Male,Widowed,1,Not Graduate,No,34032,30417,24,1,Semiurban,D,0.20459156869534786,0,6,8,463,0,2023-10-24
22,Male,Widowed,0,Graduate,No,28382,20165,48,1,Rural,D,0.38230202380108536,0,8,7,553,0,2023-05-12
44,Male,Married,1,Not Graduate,No,40051,38287,24,1,Rural,C,0.40774169361037615,0,6,8,525,0,2023-12-24
30,Male,Divorced,1,Not Graduate,No,31495,44744,36,1,Rural,A,0.15121448646552357,0,4,4,386,1,2023-03-31
19,Male,Single,1,Graduate,Yes,25590,11893,48,1,Semiurban,C,0.0629711848234525,2,1,7,458,1,2023-04-10
30,Female,Widowed,2,Not Graduate,No,30656,30006,36,1,Urban,C,0.0961318188598726,1,5,9,472,1,2023-09-17
50,Male,Single,0,Graduate,No,55466,22770,36,1,Semiurban,B,0.26054468036646117,0,4,9,662,0,2023-12-18
43,Male,Single,1,Not Graduate,No,37497,21594,24,0,Urban,E,0.14616837166866087,2,2,6,311,1,2023-08-20
31,Male,Single,1,Graduate,No,32611,31620,24,1,Semiurban,A,0.055872956017506005,0,7,9,462,1,2023-08-21
31,Male,Married,1,Not Graduate,No,43287,30217,36,1,Urban,B,0.2916734655864736,1,4,5,488,1,2023-12-27
31,Male,Married,0,Graduate,No,36286,23616,12,1,Urban,A,0.013937204570397646,0,7,10,623,1,2023-02-11
55,Female,Married,0,Not Graduate,No,20883,27496,60,1,Semiurban,E,0.07436068498574387,2,1,9,510,1,2023-02-01
38,Male,Widowed,1,Graduate,No,51188,68141,36,1,Urban,A,0.14881889914330404,2,4,6,637,0,2023-08-28
39,Female,Married,0,Graduate,No,26577,24458,36,1,Semiurban,B,0.09987179340825703,0,4,7,561,0,2023-02-14
45,Male,Single,2,Graduate,No,30599,41035,24,1,Semiurban,D,0.12641022538435054,1,2,5,532,0,2023-02-06
37,Male,Married,2,Not Graduate,No,17038,14295,60,1,Rural,B,0.16394534478022682,0,3,11,455,1,2023-06-23
32,Male,Married,0,Graduate,Yes,54774,69651,48,1,Urban,A,0.0458684255703115,0,5,5,653,1,2023-12-17
33,Male,Divorced,2,Graduate,No,38651,54430,36,0,Urban,A,0.2101011610909164,1,6,13,305,1,2023-08-28
34,Male,Married,0,Not Graduate,No,41874,30407,36,1,Rural,B,0.26206659174427266,0,5,12,456,1,2023-02-27
34,Male,Married,0,Not Graduate,No,54551,21233,36,1,Urban,B,0.12745020433985002,1,4,6,588,0,2023-06-14
42,Female,Single,1,Graduate,No,54786,17181,36,1,Rural,C,0.21707211807063687,0,2,7,624,1,2023-08-14
35,Female,Married,0,Not Graduate,No,25536,18520,36,0,Urban,B,0.24409675212578272,0,5,13,321,1,2023-10-10
42,Male,Widowed,2,Graduate,No,36536,41469,36,1,Semiurban,C,0.017218536898980605,0,5,16,593,0,2023-10-21
34,Male,Single,0,Not Graduate,No,34789,8424,36,0,Urban,E,0.25181538068614134,0,7,2,300,1,2023-05-30
35,Male,Divorced,0,Not Graduate,No,33179,20987,12,1,Semiurban,D,0.1646814575827715,0,6,6,401,1,2023-08-06
18,Male,Married,0,Graduate,No,24288,28606,12,1,Rural,C,0.14549657088063933,1,2,15,473,0,2023-06-04
44,Male,Single,2,Graduate,No,74051,46538,24,1,Semiurban,E,0.07307709018050317,2,4,11,684,1,2023-02-02
38,Female,Widowed,0,Graduate,Yes,60299,45092,24,1,Semiurban,E,0.05362009372597877,0,5,9,656,0,2023-05-05
44,Male,Married,1,Graduate,No,45329,10677,60,1,Urban,C,0.34409106248036603,0,5,5,730,1,2023-09-20
